#NAME?,90064,233280,top 5 scary things caught on camera,1,1
#NAME?,11311520,11378224,the nukes top 5 facebook page where you,1,1
#NAME?,11659520,11746224,should be featured in a top 5 thanks for,1,1
OsAU02RiFac,1280,37600,how’s it going all of you most amazing top 10ers,1,1
OsAU02RiFac,348640,419360,so here are the top 10 convicts who freak out after given a life sentence,1,1
g7o1jL1863Q,5233584,5284480,was and im top of that she didnt get a,1,1
GZS0icVCB80,29760,90240,top five central today were gonna be,1,1
GZS0icVCB80,63840,132480,looking at the top 10 roller coasters,1,1
GZS0icVCB80,10527200,10587344,and those are lists of the top ten,1,1
YoLQx5WI6AM,94880,209120,top 5 mysterious creatures caught on,1,1
YoLQx5WI6AM,10112944,10178224,most of the videos in this weeks top 5,1,1
YoLQx5WI6AM,10217600,10321760,videos for the top 5 you can do that at,1,1
YoLQx5WI6AM,10255520,10348640,facebookcom slash nooks top 5 just,1,1
rStsx8SGsPc,16409424,16449584,parents were on top of a hill like all their breakdancing,1,1
rStsx8SGsPc,22827680,22902560,okay like hey she got that attitude like its top down going to heaven so i dont battle,1,1
rStsx8SGsPc,26071360,26191680,didnt realize id be playing disabled top trumps when i got on or i would have dressed more special,1,1
lUMckamcbgs,204304,268320,me on the top you never know maybe i,1,1
lUMckamcbgs,1133760,1200480,happen but top eight is that the first,1,1
lUMckamcbgs,11030560,11107360,youre a top player of my heart that is,1,1
lUMckamcbgs,14713280,14765600,i was already top of the line when it,1,1
lUMckamcbgs,16966864,17034080,weve got top four coming up for you but,1,1
lUMckamcbgs,18802880,18857120,yep thats a full frame top basically,1,1
lUMckamcbgs,22121120,22214400,yeah ill land on top like so,1,1
MmE8Wx_Gk9g,208304,294720,down our picks for the top 10 biggest,1,1
_ByyWDOJtRI,76784,165280,counting down our picks for another top,1,1
RWn6AjDc_hI,26118240,26195040,shes just been a bit over the top okay can i be honest with you  you have,1,1
vwrKs4kuWBs,2525760,2590080,being pulled to the top of the hill when,1,1
vwrKs4kuWBs,4782560,4844000,thats a 14 story building top its,1,0
vwrKs4kuWBs,9864160,9922240,plus if you apple near in the top 5s,1,1
evakuNhnNTs,82080,149760,counting down our picks for the top 10,1,1
evakuNhnNTs,108464,185760,worst americas next top model makeovers,1,1
evakuNhnNTs,2567520,2633264,and definitely didnt scream top model,1,1
fNgHZ7IIGv4,251040,449280,counting down our picks for the top 10,1,1
fNgHZ7IIGv4,3901920,3984480,and you got your canadonts top shelf,1,1
fNgHZ7IIGv4,6261920,6329600,around 25000 in mexico and at the top,1,1
fNgHZ7IIGv4,7088480,7167200,landing somewhere in the top 10 to 15 at,1,1
fNgHZ7IIGv4,8349584,8414384,top universities in the country its,1,2
fNgHZ7IIGv4,8382224,8462880,also typically ranked within the top 30,1,1
