qJwecTgce6c,142096,212528,in this lesson we’re going to learn about another important geometry quantity called volume,1,1
qJwecTgce6c,212528,285600,specifically we’re going to learn what volume is and what kind of units we use to measure volume,2,2
qJwecTgce6c,285600,352832,and how we can calculate the volumes of a few simple geometric shapes,1,1
qJwecTgce6c,352832,434992,the first thing you need to know is that volume is a quantity that all 3dimensional objects have,1,1
qJwecTgce6c,1409472,1486304,and to measure a 3dimensional object like this we use the 3dimensional quantity called volume,1,1
qJwecTgce6c,1486304,1579664,volume tells us how much 3dimensional space  an object occupies,1,1
qJwecTgce6c,1579664,1627952,alright but how much volume does this cube have,1,1
qJwecTgce6c,1720784,1818944,we say that its volume is exactly one “cubic centimeter”,1,2
qJwecTgce6c,1818944,1899792,so “square units” are used to measure area and “cubic units” are used to measure volume,1,1
qJwecTgce6c,2530672,2605376,see how area and square units are related to volume and cubic units,1,1
qJwecTgce6c,2734752,2824384,well you can use cubic units to measure the volume of any 3d shape not just cubes,1,1
qJwecTgce6c,3004704,3070048,you can use a bunch of small cubes to approximate the volume of the sphere,1,1
qJwecTgce6c,3186672,3280432,and the smaller the cubes you use the closer their combined volume will match the volume of the sphere,2,2
qJwecTgce6c,3280432,3357376,okay so volume is a 3d quantity for measuring 3d objects,1,1
qJwecTgce6c,3397376,3488880,i want to point out that 3d objects also have a type of area that you don’t want to confuse with volume,1,1
qJwecTgce6c,3616656,3749520,well in a similar way 3d objects have both a 3d quantity called volume and a 2d quantity called called “surface area”,1,1
qJwecTgce6c,4064816,4119504,and to help you see the difference between surface area and volume,1,1
qJwecTgce6c,4178992,4243024,if you unfold the box you can see the 2d area that surrounds the volume,1,1
qJwecTgce6c,4243024,4329968,while the volume itself if the amount of 3d space occupied by the ice inside the box,1,1
qJwecTgce6c,4329968,4406032,alright so now that you understand what volume is and you won’t confuse it with surface area,1,1
qJwecTgce6c,4406032,4490192,we’re going to spend the rest of the video learning how to calculate the volumes of some basic geometric shapes,1,1
qJwecTgce6c,5927360,6025920,okay so the good news is that there’s a general formula for calculating the volume of these types of 3d shape,1,1
qJwecTgce6c,6223728,6293120,so let’s start with this rectangular prism and calculate its volume,1,1
qJwecTgce6c,6584384,6678816,now… to find the volume we just need to multiply that area by the length that the base was extended,1,1
qJwecTgce6c,6835936,6913568,so this rectangular prism has a volume of 120 cubic centimeters,1,1
qJwecTgce6c,6913568,6974384,okay let’s try to find the volume of the triangular prism now,1,1
qJwecTgce6c,7498832,7582608,now all we have to do to find the volume is multiply that area by the length that it was extended,1,1
qJwecTgce6c,7691840,7728320,that’s the volume of this prism,1,1
qJwecTgce6c,7728320,7791360,alright are you ready to try finding the volume of the cylinder now,1,1
qJwecTgce6c,8198560,8256720,now that we know the area of the circle to find the volume of the cylinder,1,1
qJwecTgce6c,8464240,8546416,so the volume of this cylinder is 1256 cubic meters,1,1
qJwecTgce6c,8546416,8599232,so do you see how to find the volume of 3d shapes like these,1,1
qJwecTgce6c,8670720,8779040,you just find the area of that shape and then you multiply it by the length that it was extended and that gives you the volume,1,1
qJwecTgce6c,8937920,9047360,“man… now that i know how to accurately calculate volumes playtime is way more fun”,1,1
qJwecTgce6c,9488336,9566768,since the formulas for finding the volumes of spheres and cones are more complicated to explain,1,1
qJwecTgce6c,9694016,9740688,to find the volume of a sphere you use the formula,1,1
qJwecTgce6c,9740688,9812192,volume equals fourthirds times pi times radius cubed,1,1
qJwecTgce6c,9812192,9855408,and to find the volume of a cone you use the formula,1,1
qJwecTgce6c,9855408,9931968,volume equals onethird times height times pi times radius squared,1,1
qJwecTgce6c,10028000,10086160,fortunately that’s the only dimension we need to find its volume,1,1
qJwecTgce6c,10086160,10190464,our formula says that the volume of a sphere is equal to 43 x pi x r3,1,1
qJwecTgce6c,10573808,10653296,which gives us a volume of 3349 centimeters cubed,1,1
qJwecTgce6c,10683168,10746400,to use our formula to find the volume of a cone we need to know two things,1,1
qJwecTgce6c,11537344,11572544,which is the volume of the cone,1,1
qJwecTgce6c,11572544,11618192,alright… so now you know a lot about volume,1,1
qJwecTgce6c,11667264,11716544,and you know that we measure volume with cubic units,1,1
